id	targetid	site	pop	state	district	species	chr_race	latitude	longitude	miss
8500	2751620	Cromer	Cromer	SA	SA	Vandiemenella	viatica17	-34.764	138.9459	0.0977723
8551	2751621	Cromer	Cromer	SA	SA	Vandiemenella	viatica17	-34.764	138.9459	0.0866337
8580	2751622	Cromer	Cromer	SA	SA	Vandiemenella	viatica17	-34.764	138.9459	0.0866337
8512	2751623	Cromer	Cromer	SA	SA	Vandiemenella	viatica17	-34.764	138.9459	0.103342
8232	2751624	Coorong National Park	Coorong	SA	SA	Vandiemenella	viatica17	-36.1167	139.7045	0.0550743
8212	2751625	Coorong National Park	Coorong	SA	SA	Vandiemenella	viatica17	-36.1167	139.7045	0.0655941
8236	2751626	Coorong National Park	Coorong	SA	SA	Vandiemenella	viatica17	-36.1167	139.7045	0.0779703
8237	2751627	Coorong National Park	Coorong	SA	SA	Vandiemenella	viatica17	-36.1167	139.7045	0.0538366
8239	2751628	Coorong National Park	Coorong	SA	SA	Vandiemenella	viatica17	-36.1167	139.7045	0.0680693
8187	2751629	Mt Crawford National Park	Mt_Crawford	SA	SA	Vandiemenella	viatica17	-34.70751	138.96099	0.0891089
8184	2751630	Mt Crawford National Park	Mt_Crawford	SA	SA	Vandiemenella	viatica17	-34.70751	138.96099	0.0847772
8202	2751631	Mt Crawford National Park	Mt_Crawford	SA	SA	Vandiemenella	viatica17	-34.70751	138.96099	0.0798267
8242	2751632	Mt Crawford National Park	Mt_Crawford	SA	SA	Vandiemenella	viatica17	-34.70751	138.96099	0.0928218
8233	2751633	Mt Crawford National Park	Mt_Crawford	SA	SA	Vandiemenella	viatica17	-34.70751	138.96099	0.0965347
8779	2751634	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.215347
8377	2751636	Warren Gorge1	Warren_Gg	SA	SA	Vandiemenella	P25XO	-32.18657	138.013862	0.0761139
8425	2751637	Warren Gorge1	Warren_Gg	SA	SA	Vandiemenella	P25XO	-32.18657	138.013862	0.082302
8341	2751638	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.199876
8295	2751639	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.188738
8294	2751640	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.206064
8162	2751641	Pichi Richi Park	Pichi_Richi	SA	SA	Vandiemenella	P25XO	-32.431953	137.975382	0.201733
8337	2751642	Warren Gorge1	Warren_Gg	SA	SA	Vandiemenella	P25XO	-32.18657	138.013862	0.201114
